uID,variable1,variable2,factor
2878,0.3,1,SameKiss
2884,0.4,2,SameKiss
2885,0.5,5,SameKiss
2886,0.5,3,SameKiss
2887,0.5,3,SameKiss
2888,0.5,3,SameKiss
2890,0.5,2,SameKiss
2896,0.3,3,SameKiss
2897,0.7,1,SameKiss
2898,0,1,SameKiss
2901,0.4,1,SameKiss
2903,0.1,1,SameKiss
2904,0.2,1,SameKiss
2905,0.2,2,SameKiss
2906,0.3,6,SameKiss
2908,0.3,1,SameKiss
2909,0.1,2,SameKiss
2914,0.2,3,SameKiss
2915,0.2,3,SameKiss
2920,0.5,4,SameKiss
3035,0.6,2,SameKiss
3038,0.1,5,SameKiss
