"","Participant_ID","referrer","ClipboardWeight","IIResponse","CBReject","age","year","Genderfactor","ethnicity","AttentionCheck"
"982","80","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"983","81","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"984","82","MontanaStateUniversity","Heavy Clipboard",6,"Include","23","Senior","Female","Asian-American","Fail"
"985","83","MontanaStateUniversity","Light Clipboard",7,"Include","23","Junior","Female","White, non-Hispanic or latino","Pass"
"986","84","MontanaStateUniversity","Heavy Clipboard",6,"Include","20","Junior","Female","White, non-Hispanic or latino","Fail"
"987","85","MontanaStateUniversity","Light Clipboard",7,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"988","86","MontanaStateUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"989","87","MontanaStateUniversity","Light Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"990","88","MontanaStateUniversity","Heavy Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Pass"
"991","89","MontanaStateUniversity","Light Clipboard",5,"Include","18","First-year","Male","White, non-Hispanic or latino","Fail"
"992","9","MontanaStateUniversity","Light Clipboard",7,"Include",NA,NA,NA,NA,NA
"993","90","MontanaStateUniversity","Heavy Clipboard",7,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Pass"
"994","91","MontanaStateUniversity","Light Clipboard",6,"Include","18","First-year","Female","White, non-Hispanic or latino","Fail"
"995","92","MontanaStateUniversity","Heavy Clipboard",2,"Include","19","First-year","Male","White, non-Hispanic or latino","Fail"
"996","93","MontanaStateUniversity","Light Clipboard",6,"Include","18","First-year","Male","White, non-Hispanic or latino","Pass"
"998","95","MontanaStateUniversity","Light Clipboard",6,"Include","19","Sophomore","Female","White, non-Hispanic or latino","Fail"
"1001","98","MontanaStateUniversity","Heavy Clipboard",6,"Include","24","First-year","Female","White, non-Hispanic or latino","Pass"
"1002","99","MontanaStateUniversity","Light Clipboard",7,"Include","18","Sophomore","Female","White, non-Hispanic or latino","Pass"
