uID,variable1,variable2,factor
2363,0.7,1,DiffKiss
2370,0.3,2,DiffKiss
2377,0.3,2,DiffKiss
2381,0.3,2,DiffKiss
2385,0.5,2,DiffKiss
2386,0.7,2,DiffKiss
2389,0.5,2,DiffKiss
2393,0.4,1,DiffKiss
2394,0.4,2,DiffKiss
2401,0.3,2,DiffKiss
2404,1,1,DiffKiss
2408,0.2,1,DiffKiss
2409,0.7,1,DiffKiss
2414,0.4,2,DiffKiss
2237,0.5,2,SameKiss
2240,0.1,1,SameKiss
2249,0.3,2,SameKiss
2250,0.3,2,SameKiss
2254,0.3,2,SameKiss
2257,0.2,2,SameKiss
2259,0.9,1,SameKiss
2264,0.4,1,SameKiss
2266,0.4,2,SameKiss
2270,0.5,2,SameKiss
2274,0.1,2,SameKiss
2276,0.4,2,SameKiss
2279,0.3,2,SameKiss
2283,0.5,1,SameKiss
2284,0.7,2,SameKiss
2291,0.1,2,SameKiss
2294,0.7,2,SameKiss
2298,0.2,2,SameKiss
2301,0.3,2,SameKiss
2305,0.4,2,SameKiss
2308,1,2,SameKiss
2309,0.1,2,SameKiss
2326,0.4,2,SameKiss
2328,0.5,2,SameKiss
2332,0.3,2,SameKiss
2336,0.5,2,SameKiss
2342,0,1,SameKiss
2345,0.4,1,SameKiss
2355,0.2,2,SameKiss
2359,0.6,1,SameKiss
2360,0,2,SameKiss
2365,0.1,1,SameKiss
2371,0.5,1,SameKiss
2373,0.2,2,SameKiss
2375,0.2,2,SameKiss
2378,0.5,1,SameKiss
2395,0,2,SameKiss
2399,0.1,1,SameKiss
2403,0.1,2,SameKiss
2406,0.5,2,SameKiss
2411,0.2,2,SameKiss
2415,0.9,2,SameKiss
2416,0.3,2,SameKiss
2238,0.4,2,DiffKiss
2244,0.5,2,DiffKiss
2247,0.3,2,DiffKiss
2253,0.4,1,DiffKiss
2262,0.2,2,DiffKiss
2268,0.4,2,DiffKiss
2278,0.5,1,DiffKiss
2287,0.4,2,DiffKiss
2288,0.3,2,DiffKiss
2293,0,2,DiffKiss
2297,0.6,2,DiffKiss
2304,0.5,1,DiffKiss
2312,0.2,1,DiffKiss
2313,0.3,2,DiffKiss
2316,0.2,2,DiffKiss
2317,0.8,1,DiffKiss
2318,0.6,2,DiffKiss
